Benefit per order,Sales per customer,Latitude,Longitude,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Price,Product Status,is_holiday_window,is_weekend_order,Shipping_mode_risk,customer_total_orders,customer_late_rate,customer_avg_delay_gap,Price Tier,Market_encoded,Order Region_encoded,Customer Segment_encoded,Department Name_encoded,Shipping Mode_encoded,Type_encoded,Order Status_encoded
0.017354082,0.025127785,-0.023433175,-0.023787623,-0.017660026,-0.011356932,0.007905001,-0.06050534,0.0022098012,0.0072464766,0.0060762726,0.00052823167,0.0018082416,0.0,0.009285082,-0.01817767,-0.7277061,-0.008155947,-0.34823436,-0.1833979,0.0,-0.0013515073,-0.052847486,0.0027223076,-0.00013156206,-0.16854808,-0.0008038859,0.110055774
0.01084548,0.00855447,-0.012916701,-0.014412995,-0.010393578,-0.01033142,0.0074828705,0.0034181315,0.0024521542,0.0055688582,-0.0017371614,-0.0025931718,0.0012841794,0.0,0.0100582,-0.011210318,-0.72958934,-0.004849624,-0.32083,-0.1594244,0.0,-0.0030726178,-0.048587255,0.0034455908,-0.00086311233,-0.16807482,0.000605949,0.12300393
-0.009792508,-0.0041708346,-0.049947497,-0.0143750375,-0.0069875144,-0.001164079,-0.01797657,-0.020684183,-0.005618167,0.011470298,-0.004129806,-0.0023365028,0.0016709703,0.0,-1.5051515e-05,-0.02536784,-0.6937329,-0.048192583,-0.399941,-0.13102233,0.0,-0.0042802603,-0.03329749,0.0016155697,-0.0037178367,-0.15342188,0.0026287448,0.082854755
0.024552623,0.027976995,-0.040403347,-0.010002673,-0.001076546,-0.009388664,0.010150457,-0.008722598,0.002133462,0.012747706,0.005984316,-0.0040819887,0.0021902164,0.0,-0.00014025971,-0.023950223,-0.6898938,-0.0405888,-0.3982243,-0.09675466,0.0,-0.0048378296,-0.02919007,0.0010405841,-0.0006853246,-0.15021521,0.002832459,0.08200035
0.0056664646,-0.023802139,-0.045945153,-0.017164892,-0.019220356,0.0033622656,0.011599064,-0.047336914,-0.0024830566,-0.014785993,-0.011554497,-0.053241834,0.0026798435,0.0,0.0020152426,-0.012438069,-0.69178313,-0.06377332,-0.39799306,-0.09868345,0.0,-0.006205498,-0.045235742,-0.0029050207,0.0008368045,-0.15437384,-0.002880791,0.060937256
0.00018044247,0.050841376,-0.036269724,-0.014780359,-0.009569942,0.0070132837,-0.0036069266,0.0047903187,0.0025791207,0.009573985,0.00514238,0.0005862135,0.0038265795,0.0,0.00010739919,-0.024944792,-0.69310987,-0.034145888,-0.39063823,-0.09745646,0.0,-0.0020496438,-0.029514393,0.0010176213,-0.00093475427,-0.15752552,0.0031958362,0.083265685
-0.0010048051,0.00038499408,-0.054392993,-0.01129387,-0.0056699137,-0.00048052496,0.016113378,0.00020788581,0.0023229963,-0.0097632175,-0.006363022,-0.0017778812,0.0038400441,0.0,0.002103492,-0.015423729,-0.69319034,-0.061905228,-0.38768575,-0.11917812,0.0,-0.0045348625,-0.044127557,0.0015600879,-0.00046301042,-0.1553983,0.0021088691,0.085723564
0.032651294,-0.008017708,-0.036212116,0.0007667906,-0.021852955,-0.007651128,0.0067713615,-0.018956238,0.0018332633,0.007855826,-0.000929837,0.0019635982,0.0012525924,0.0,0.007418753,0.004480289,6.47567,0.0033496835,0.27289546,0.005816621,0.0,0.009932064,0.00020410583,0.0059708515,-0.00077507936,1.0491085,-0.21032868,0.59787977
0.04933178,-0.01768096,-0.028755562,0.001757314,-0.008231651,-0.015924985,-0.0019846417,0.002979455,-0.000445255,0.0093764365,-0.00055372657,0.026557524,-0.0010318888,0.0,0.007520019,0.0034399882,6.4760528,0.005079853,0.26283655,-0.0027531255,0.0,0.009538091,-0.0016866316,0.008702085,-0.003105166,1.0616955,-0.20103571,0.59907115
0.006956646,0.00072124484,-0.06963029,-0.022497227,-0.007724656,-0.004015221,0.006470185,-0.03460655,0.004023598,-0.0010831599,-0.011715099,-0.015663764,-0.00028117644,0.0,0.004693689,-0.0021400237,6.475227,0.009211568,0.21886069,0.018064804,0.0,0.0054302015,0.0008863198,-0.0028676796,-0.009412499,1.0135363,-0.20656225,0.5925923
